"","julian_day","hr_bin","Common.name","n"
"172",151,2,"Yellow-throated Warbler",1199
"173",151,3,"Acadian Flycatcher",1199
"174",151,3,"American Crow",1198
"175",151,3,"American Goldfinch",1199
"176",151,3,"American Redstart",1199
"177",151,3,"Barred Owl",1198
"178",151,3,"Belted Kingfisher",1172
"179",151,3,"Black Vulture",1003
"180",151,3,"Black-and-white Warbler",1199
"181",151,3,"Blue Grosbeak",1199
"182",151,3,"Blue Jay",1199
"183",151,3,"Blue-gray Gnatcatcher",1198
"184",151,3,"Brown Thrasher",934
"185",151,3,"Brown-headed Cowbird",1199
"186",151,3,"Brown-headed Nuthatch",1199
"187",151,3,"Carolina Chickadee",1199
"188",151,3,"Carolina Wren",1163
"189",151,3,"Chimney Swift",1197
"190",151,3,"Chipping Sparrow",1199
"191",151,3,"Common Grackle",1168
"192",151,3,"Common Yellowthroat",1199
"193",151,3,"Downy Woodpecker",1181
"194",151,3,"Eastern Bluebird",1192
"195",151,3,"Eastern Kingbird",1193
"196",151,3,"Eastern Phoebe",1199
"197",151,3,"Eastern Towhee",1198
"198",151,3,"Eastern Wood-Pewee",1199
"199",151,3,"European Starling",30
"200",151,3,"Fish Crow",867
"201",151,3,"Great Blue Heron",1115
"202",151,3,"Great Crested Flycatcher",1199
"203",151,3,"Hairy Woodpecker",1189
"204",151,3,"House Finch",1140
"205",151,3,"Indigo Bunting",1199
"206",151,3,"Killdeer",650
"207",151,3,"Mourning Dove",1183
"208",151,3,"Northern Cardinal",1199
"209",151,3,"Northern Flicker",1196
"210",151,3,"Northern Mockingbird",894
"211",151,3,"Northern Parula",1199
"212",151,3,"Osprey",1132
"213",151,3,"Ovenbird",1199
"214",151,3,"Pileated Woodpecker",1199
"215",151,3,"Pine Warbler",1199
"216",151,3,"Red-bellied Woodpecker",1197
"217",151,3,"Red-eyed Vireo",1199
"218",151,3,"Red-headed Woodpecker",1199
"219",151,3,"Red-shouldered Hawk",1195
"220",151,3,"Red-tailed Hawk",1199
"221",151,3,"Red-winged Blackbird",1168
"222",151,3,"Ruby-throated Hummingbird",1199
"223",151,3,"Scarlet Tanager",1199
"224",151,3,"Summer Tanager",1199
"225",151,3,"Tufted Titmouse",1199
"226",151,3,"Turkey Vulture",12
"227",151,3,"White-breasted Nuthatch",1196
"228",151,3,"White-eyed Vireo",1199
"229",151,3,"Yellow-billed Cuckoo",1199
"230",151,3,"Yellow-throated Vireo",1199
"231",151,3,"Yellow-throated Warbler",1199
"232",152,0,"Acadian Flycatcher",1
"233",152,0,"American Crow",1
"234",152,0,"American Goldfinch",1
"235",152,0,"American Redstart",1
"236",152,0,"Barred Owl",1
"237",152,0,"Belted Kingfisher",1
"238",152,0,"Black-and-white Warbler",1
"239",152,0,"Blue Grosbeak",1
"240",152,0,"Blue Jay",1
"241",152,0,"Blue-gray Gnatcatcher",1
"242",152,0,"Brown-headed Cowbird",1
"243",152,0,"Brown-headed Nuthatch",1
"244",152,0,"Carolina Chickadee",1
"245",152,0,"Carolina Wren",1
"246",152,0,"Chimney Swift",1
"247",152,0,"Chipping Sparrow",1
"248",152,0,"Common Grackle",1
"249",152,0,"Common Yellowthroat",1
"250",152,0,"Downy Woodpecker",1
"251",152,0,"Eastern Bluebird",1
"252",152,0,"Eastern Kingbird",1
"253",152,0,"Eastern Phoebe",1
"254",152,0,"Eastern Towhee",1
"255",152,0,"Eastern Wood-Pewee",1
"256",152,0,"Great Crested Flycatcher",1
"257",152,0,"Hairy Woodpecker",1
"258",152,0,"House Finch",1
"259",152,0,"Indigo Bunting",1
"260",152,0,"Killdeer",1
"261",152,0,"Mourning Dove",1
"262",152,0,"Northern Cardinal",1
"263",152,0,"Northern Flicker",1
"264",152,0,"Northern Mockingbird",1
"265",152,0,"Northern Parula",1
"266",152,0,"Osprey",1
"267",152,0,"Ovenbird",1
"268",152,0,"Pileated Woodpecker",1
"269",152,0,"Pine Warbler",1
"270",152,0,"Red-bellied Woodpecker",1
"271",152,0,"Red-eyed Vireo",1
"272",152,0,"Red-headed Woodpecker",1
"273",152,0,"Red-shouldered Hawk",1
"274",152,0,"Red-tailed Hawk",1
"275",152,0,"Red-winged Blackbird",1
"276",152,0,"Ruby-throated Hummingbird",1
"277",152,0,"Scarlet Tanager",1
"278",152,0,"Summer Tanager",1
"279",152,0,"Tufted Titmouse",1
"280",152,0,"White-breasted Nuthatch",1
"281",152,0,"White-eyed Vireo",1
"282",152,0,"Yellow-billed Cuckoo",1
"283",152,0,"Yellow-throated Vireo",1
"284",152,0,"Yellow-throated Warbler",1
"285",152,1,"Acadian Flycatcher",1200
"286",152,1,"American Crow",1192
"287",152,1,"American Goldfinch",1196
"288",152,1,"American Redstart",1200
"289",152,1,"Barred Owl",1192
"290",152,1,"Belted Kingfisher",1192
"291",152,1,"Black Vulture",531
"292",152,1,"Black-and-white Warbler",1200
"293",152,1,"Blue Grosbeak",1200
"294",152,1,"Blue Jay",1199
"295",152,1,"Blue-gray Gnatcatcher",1200
"296",152,1,"Brown Thrasher",670
"297",152,1,"Brown-headed Cowbird",1200
"298",152,1,"Brown-headed Nuthatch",1196
"299",152,1,"Carolina Chickadee",1196
"300",152,1,"Carolina Wren",1156
"301",152,1,"Chimney Swift",1200
"302",152,1,"Chipping Sparrow",1199
"303",152,1,"Common Grackle",1187
"304",152,1,"Common Yellowthroat",1197
"305",152,1,"Downy Woodpecker",1182
"306",152,1,"Eastern Bluebird",1198
"307",152,1,"Eastern Kingbird",1183
"308",152,1,"Eastern Phoebe",1191
"309",152,1,"Eastern Towhee",1200
"310",152,1,"Eastern Wood-Pewee",1200
"311",152,1,"European Starling",106
"312",152,1,"Fish Crow",1040
"313",152,1,"Great Blue Heron",587
"314",152,1,"Great Crested Flycatcher",1200
"315",152,1,"Hairy Woodpecker",1005
"316",152,1,"House Finch",1140
"317",152,1,"Indigo Bunting",1200
"318",152,1,"Killdeer",295
"319",152,1,"Mourning Dove",1200
"320",152,1,"Northern Cardinal",1194
"321",152,1,"Northern Flicker",1188
"322",152,1,"Northern Mockingbird",848
"323",152,1,"Northern Parula",1200
"324",152,1,"Osprey",1125
"325",152,1,"Ovenbird",1199
"326",152,1,"Pileated Woodpecker",1191
"327",152,1,"Pine Warbler",1200
"328",152,1,"Red-bellied Woodpecker",1199
"329",152,1,"Red-eyed Vireo",1198
"330",152,1,"Red-headed Woodpecker",1200
"331",152,1,"Red-shouldered Hawk",1163
"332",152,1,"Red-tailed Hawk",1200
"333",152,1,"Red-winged Blackbird",1115
"334",152,1,"Ruby-throated Hummingbird",1198
"335",152,1,"Scarlet Tanager",1200
"336",152,1,"Summer Tanager",1200
"337",152,1,"Tufted Titmouse",1199
"338",152,1,"Turkey Vulture",11
"339",152,1,"White-breasted Nuthatch",1184
"340",152,1,"White-eyed Vireo",1194
"341",152,1,"Yellow-billed Cuckoo",1200
"342",152,1,"Yellow-throated Vireo",1200
"343",152,1,"Yellow-throated Warbler",1200
"344",152,2,"Acadian Flycatcher",1200
"345",152,2,"American Crow",1195
"346",152,2,"American Goldfinch",1200
"347",152,2,"American Redstart",1200
"348",152,2,"Barred Owl",1200
"349",152,2,"Belted Kingfisher",1177
"350",152,2,"Black Vulture",541
"351",152,2,"Black-and-white Warbler",1200
"352",152,2,"Blue Grosbeak",1200
"353",152,2,"Blue Jay",1200
"354",152,2,"Blue-gray Gnatcatcher",1200
"355",152,2,"Brown Thrasher",895
"356",152,2,"Brown-headed Cowbird",1200
"357",152,2,"Brown-headed Nuthatch",1189
"358",152,2,"Carolina Chickadee",1197
"359",152,2,"Carolina Wren",1117
"360",152,2,"Chimney Swift",1172
"361",152,2,"Chipping Sparrow",1195
"362",152,2,"Common Grackle",1174
"363",152,2,"Common Yellowthroat",1200
"364",152,2,"Downy Woodpecker",1135
"365",152,2,"Eastern Bluebird",1189
"366",152,2,"Eastern Kingbird",1184
"367",152,2,"Eastern Phoebe",1195
"368",152,2,"Eastern Towhee",1200
"369",152,2,"Eastern Wood-Pewee",1200
"370",152,2,"European Starling",135
"371",152,2,"Fish Crow",927
"372",152,2,"Great Blue Heron",927
"373",152,2,"Great Crested Flycatcher",1200
"374",152,2,"Hairy Woodpecker",1151
"375",152,2,"House Finch",1117
"376",152,2,"Indigo Bunting",1200
"377",152,2,"Killdeer",479
"378",152,2,"Mourning Dove",1189
"379",152,2,"Northern Cardinal",1198
"380",152,2,"Northern Flicker",1187
"381",152,2,"Northern Mockingbird",881
"382",152,2,"Northern Parula",1200
"383",152,2,"Osprey",1087
"384",152,2,"Ovenbird",1200
"385",152,2,"Pileated Woodpecker",1200
"386",152,2,"Pine Warbler",1200
"387",152,2,"Red-bellied Woodpecker",1195
"388",152,2,"Red-eyed Vireo",1200
"389",152,2,"Red-headed Woodpecker",1200
"390",152,2,"Red-shouldered Hawk",1167
"391",152,2,"Red-tailed Hawk",1200
"392",152,2,"Red-winged Blackbird",1129
"393",152,2,"Ruby-throated Hummingbird",1199
"394",152,2,"Scarlet Tanager",1200
"395",152,2,"Summer Tanager",1200
"396",152,2,"Tufted Titmouse",1199
"397",152,2,"Turkey Vulture",33
"398",152,2,"White-breasted Nuthatch",1183
"399",152,2,"White-eyed Vireo",1200
"400",152,2,"Yellow-billed Cuckoo",1200
"401",152,2,"Yellow-throated Vireo",1200
"402",152,2,"Yellow-throated Warbler",1200
"403",152,3,"Acadian Flycatcher",1199
"404",152,3,"American Crow",1160
"405",152,3,"American Goldfinch",1187
"406",152,3,"American Redstart",1199
"407",152,3,"Barred Owl",1197
"408",152,3,"Belted Kingfisher",1105
"409",152,3,"Black Vulture",669
"410",152,3,"Black-and-white Warbler",1199
"411",152,3,"Blue Grosbeak",1199
"412",152,3,"Blue Jay",1199
"413",152,3,"Blue-gray Gnatcatcher",1199
"414",152,3,"Brown Thrasher",647
"415",152,3,"Brown-headed Cowbird",1199
"416",152,3,"Brown-headed Nuthatch",1177
"417",152,3,"Carolina Chickadee",1198
"418",152,3,"Carolina Wren",883
"419",152,3,"Chimney Swift",855
"420",152,3,"Chipping Sparrow",1165
"421",152,3,"Common Grackle",1083
"422",152,3,"Common Yellowthroat",1197
"423",152,3,"Downy Woodpecker",839
"424",152,3,"Eastern Bluebird",1195
"425",152,3,"Eastern Kingbird",1161
"426",152,3,"Eastern Phoebe",1198
"427",152,3,"Eastern Towhee",1199
"428",152,3,"Eastern Wood-Pewee",1199
"429",152,3,"European Starling",4
"430",152,3,"Fish Crow",416
"431",152,3,"Great Blue Heron",973
"432",152,3,"Great Crested Flycatcher",1199
"433",152,3,"Hairy Woodpecker",1174
"434",152,3,"House Finch",764
"435",152,3,"Indigo Bunting",1199
"436",152,3,"Killdeer",235
"437",152,3,"Mourning Dove",1192
"438",152,3,"Northern Cardinal",1192
"439",152,3,"Northern Flicker",1046
"440",152,3,"Northern Mockingbird",515
"441",152,3,"Northern Parula",1199
"442",152,3,"Osprey",1041
"443",152,3,"Ovenbird",1196
"444",152,3,"Pileated Woodpecker",1199
"445",152,3,"Pine Warbler",1199
"446",152,3,"Red-bellied Woodpecker",1166
"447",152,3,"Red-eyed Vireo",1197
"448",152,3,"Red-headed Woodpecker",1199
"449",152,3,"Red-shouldered Hawk",1123
"450",152,3,"Red-tailed Hawk",1199
"451",152,3,"Red-winged Blackbird",1001
"452",152,3,"Ruby-throated Hummingbird",1196
"453",152,3,"Scarlet Tanager",1199
"454",152,3,"Summer Tanager",1199
"455",152,3,"Tufted Titmouse",1191
"456",152,3,"Turkey Vulture",1
"457",152,3,"White-breasted Nuthatch",1044
"458",152,3,"White-eyed Vireo",1199
"459",152,3,"Yellow-billed Cuckoo",1199
"460",152,3,"Yellow-throated Vireo",1199
"461",152,3,"Yellow-throated Warbler",1199
"462",153,0,"Acadian Flycatcher",1
"463",153,0,"American Crow",1
"464",153,0,"American Goldfinch",1
"465",153,0,"American Redstart",1
"466",153,0,"Barred Owl",1
"467",153,0,"Belted Kingfisher",1
"468",153,0,"Black Vulture",1
"469",153,0,"Black-and-white Warbler",1
"470",153,0,"Blue Grosbeak",1
"471",153,0,"Blue Jay",1
"472",153,0,"Blue-gray Gnatcatcher",1
"473",153,0,"Brown Thrasher",1
"474",153,0,"Brown-headed Cowbird",1
"475",153,0,"Brown-headed Nuthatch",1
"476",153,0,"Carolina Chickadee",1
"477",153,0,"Carolina Wren",1
"478",153,0,"Chimney Swift",1
"479",153,0,"Chipping Sparrow",1
"480",153,0,"Common Grackle",1
"481",153,0,"Common Yellowthroat",1
"482",153,0,"Downy Woodpecker",1
"483",153,0,"Eastern Bluebird",1
"484",153,0,"Eastern Kingbird",1
"485",153,0,"Eastern Phoebe",1
"486",153,0,"Eastern Towhee",1
"487",153,0,"Eastern Wood-Pewee",1
"488",153,0,"Great Blue Heron",1
"489",153,0,"Great Crested Flycatcher",1
"490",153,0,"Hairy Woodpecker",1
"491",153,0,"House Finch",1
"492",153,0,"Indigo Bunting",1
"493",153,0,"Mourning Dove",1
"494",153,0,"Northern Cardinal",1
"495",153,0,"Northern Flicker",1
"496",153,0,"Northern Mockingbird",1
"497",153,0,"Northern Parula",1
"498",153,0,"Ovenbird",1
"499",153,0,"Pileated Woodpecker",1
"500",153,0,"Pine Warbler",1
"501",153,0,"Red-bellied Woodpecker",1
"502",153,0,"Red-eyed Vireo",1
"503",153,0,"Red-headed Woodpecker",1
"504",153,0,"Red-shouldered Hawk",1
"505",153,0,"Red-tailed Hawk",1
"506",153,0,"Red-winged Blackbird",1
"507",153,0,"Ruby-throated Hummingbird",1
"508",153,0,"Scarlet Tanager",1
"509",153,0,"Summer Tanager",1
"510",153,0,"Tufted Titmouse",1
"511",153,0,"White-breasted Nuthatch",1
"512",153,0,"White-eyed Vireo",1
"513",153,0,"Yellow-billed Cuckoo",1
"514",153,0,"Yellow-throated Vireo",1
"515",153,0,"Yellow-throated Warbler",1
"516",153,1,"Acadian Flycatcher",1200
"517",153,1,"American Crow",1195
"518",153,1,"American Goldfinch",1194
"519",153,1,"American Redstart",1200
"520",153,1,"Barred Owl",1200
"521",153,1,"Belted Kingfisher",1188
"522",153,1,"Black Vulture",799
"523",153,1,"Black-and-white Warbler",1200
"524",153,1,"Blue Grosbeak",1200
"525",153,1,"Blue Jay",1200
"526",153,1,"Blue-gray Gnatcatcher",1196
"527",153,1,"Brown Thrasher",972
"528",153,1,"Brown-headed Cowbird",1200
"529",153,1,"Brown-headed Nuthatch",1200
"530",153,1,"Carolina Chickadee",1197
"531",153,1,"Carolina Wren",1171
"532",153,1,"Chimney Swift",1110
"533",153,1,"Chipping Sparrow",1196
"534",153,1,"Common Grackle",1174
"535",153,1,"Common Yellowthroat",1200
"536",153,1,"Downy Woodpecker",1178
"537",153,1,"Eastern Bluebird",1182
"538",153,1,"Eastern Kingbird",1171
"539",153,1,"Eastern Phoebe",1200
"540",153,1,"Eastern Towhee",1198
"541",153,1,"Eastern Wood-Pewee",1200
"542",153,1,"European Starling",4
"543",153,1,"Fish Crow",739
"544",153,1,"Great Blue Heron",1186
"545",153,1,"Great Crested Flycatcher",1200
"546",153,1,"Hairy Woodpecker",1081
"547",153,1,"House Finch",718
"548",153,1,"Indigo Bunting",1200
"549",153,1,"Killdeer",257
"550",153,1,"Mourning Dove",1187
"551",153,1,"Northern Cardinal",1195
"552",153,1,"Northern Flicker",1191
"553",153,1,"Northern Mockingbird",671
"554",153,1,"Northern Parula",1200
"555",153,1,"Osprey",876
"556",153,1,"Ovenbird",1200
"557",153,1,"Pileated Woodpecker",1200
"558",153,1,"Pine Warbler",1200
"559",153,1,"Red-bellied Woodpecker",1189
"560",153,1,"Red-eyed Vireo",1200
"561",153,1,"Red-headed Woodpecker",1199
"562",153,1,"Red-shouldered Hawk",1185
"563",153,1,"Red-tailed Hawk",1200
"564",153,1,"Red-winged Blackbird",1182
"565",153,1,"Ruby-throated Hummingbird",1200
"566",153,1,"Scarlet Tanager",1200
"567",153,1,"Summer Tanager",1200
"568",153,1,"Tufted Titmouse",1197
"569",153,1,"Turkey Vulture",8
"570",153,1,"White-breasted Nuthatch",1178
"571",153,1,"White-eyed Vireo",1200
"572",153,1,"Yellow-billed Cuckoo",1200
"573",153,1,"Yellow-throated Vireo",1200
"574",153,1,"Yellow-throated Warbler",1200
"575",153,2,"Acadian Flycatcher",1200
"576",153,2,"American Crow",1195
"577",153,2,"American Goldfinch",1197
"578",153,2,"American Redstart",1200
"579",153,2,"Barred Owl",1200
"580",153,2,"Belted Kingfisher",1190
"581",153,2,"Black Vulture",1079
"582",153,2,"Black-and-white Warbler",1200
"583",153,2,"Blue Grosbeak",1200
"584",153,2,"Blue Jay",1200
"585",153,2,"Blue-gray Gnatcatcher",1198
"586",153,2,"Brown Thrasher",949
"587",153,2,"Brown-headed Cowbird",1200
"588",153,2,"Brown-headed Nuthatch",1200
"589",153,2,"Carolina Chickadee",1199
"590",153,2,"Carolina Wren",1174
"591",153,2,"Chimney Swift",959
"592",153,2,"Chipping Sparrow",1195
"593",153,2,"Common Grackle",1153
"594",153,2,"Common Yellowthroat",1199
"595",153,2,"Downy Woodpecker",1180
"596",153,2,"Eastern Bluebird",1181
"597",153,2,"Eastern Kingbird",1188
"598",153,2,"Eastern Phoebe",1200
"599",153,2,"Eastern Towhee",1200
"600",153,2,"Eastern Wood-Pewee",1200
"601",153,2,"European Starling",19
"602",153,2,"Fish Crow",844
"603",153,2,"Great Blue Heron",1195
"604",153,2,"Great Crested Flycatcher",1200
"605",153,2,"Hairy Woodpecker",1195
"606",153,2,"House Finch",668
"607",153,2,"Indigo Bunting",1200
"608",153,2,"Killdeer",628
"609",153,2,"Mourning Dove",1195
"610",153,2,"Northern Cardinal",1198
"611",153,2,"Northern Flicker",1186
"612",153,2,"Northern Mockingbird",753
"613",153,2,"Northern Parula",1200
"614",153,2,"Osprey",998
"615",153,2,"Ovenbird",1200
"616",153,2,"Pileated Woodpecker",1200
"617",153,2,"Pine Warbler",1200
"618",153,2,"Red-bellied Woodpecker",1197
"619",153,2,"Red-eyed Vireo",1200
"620",153,2,"Red-headed Woodpecker",1200
"621",153,2,"Red-shouldered Hawk",1190
"622",153,2,"Red-tailed Hawk",1199
"623",153,2,"Red-winged Blackbird",1147
"624",153,2,"Ruby-throated Hummingbird",1200
"625",153,2,"Scarlet Tanager",1200
"626",153,2,"Summer Tanager",1200
"627",153,2,"Tufted Titmouse",1200
"628",153,2,"Turkey Vulture",2
"629",153,2,"White-breasted Nuthatch",1166
"630",153,2,"White-eyed Vireo",1200
"631",153,2,"Yellow-billed Cuckoo",1200
"632",153,2,"Yellow-throated Vireo",1200
"633",153,2,"Yellow-throated Warbler",1200
"634",153,3,"Acadian Flycatcher",1199
"635",153,3,"American Crow",1197
"636",153,3,"American Goldfinch",1198
"637",153,3,"American Redstart",1199
"638",153,3,"Barred Owl",1199
"639",153,3,"Belted Kingfisher",1183
"640",153,3,"Black Vulture",827
"641",153,3,"Black-and-white Warbler",1199
"642",153,3,"Blue Grosbeak",1199
"643",153,3,"Blue Jay",1196
"644",153,3,"Blue-gray Gnatcatcher",1199
"645",153,3,"Brown Thrasher",682
"646",153,3,"Brown-headed Cowbird",1199
"647",153,3,"Brown-headed Nuthatch",1199
"648",153,3,"Carolina Chickadee",1199
"649",153,3,"Carolina Wren",1057
"650",153,3,"Chimney Swift",779
"651",153,3,"Chipping Sparrow",1194
"652",153,3,"Common Grackle",1007
"653",153,3,"Common Yellowthroat",1199
"654",153,3,"Downy Woodpecker",1164
"655",153,3,"Eastern Bluebird",1147
"656",153,3,"Eastern Kingbird",1188
"657",153,3,"Eastern Phoebe",1199
"658",153,3,"Eastern Towhee",1199
"659",153,3,"Eastern Wood-Pewee",1199
"660",153,3,"European Starling",38
"661",153,3,"Fish Crow",674
"662",153,3,"Great Blue Heron",1195
"663",153,3,"Great Crested Flycatcher",1199
"664",153,3,"Hairy Woodpecker",1143
"665",153,3,"House Finch",368
"666",153,3,"Indigo Bunting",1199
"667",153,3,"Killdeer",384
"668",153,3,"Mourning Dove",1197
"669",153,3,"Northern Cardinal",1192
"670",153,3,"Northern Flicker",1181
"671",153,3,"Northern Mockingbird",599
"672",153,3,"Northern Parula",1199
"673",153,3,"Osprey",1093
"674",153,3,"Ovenbird",1199
"675",153,3,"Pileated Woodpecker",1199
"676",153,3,"Pine Warbler",1199
"677",153,3,"Red-bellied Woodpecker",1195
"678",153,3,"Red-eyed Vireo",1199
"679",153,3,"Red-headed Woodpecker",1199
"680",153,3,"Red-shouldered Hawk",1144
"681",153,3,"Red-tailed Hawk",1199
"682",153,3,"Red-winged Blackbird",1067
"683",153,3,"Ruby-throated Hummingbird",1199
"684",153,3,"Scarlet Tanager",1199
"685",153,3,"Summer Tanager",1199
"686",153,3,"Tufted Titmouse",1199
"687",153,3,"Turkey Vulture",21
"688",153,3,"White-breasted Nuthatch",1140
"689",153,3,"White-eyed Vireo",1199
