"","julian_day","hr_bin","Common.name","n"
"1",151,0,"Acadian Flycatcher",1
"2",151,0,"American Crow",1
"3",151,0,"American Goldfinch",1
"4",151,0,"American Redstart",1
"5",151,0,"Barred Owl",1
"6",151,0,"Belted Kingfisher",1
"7",151,0,"Black Vulture",1
"8",151,0,"Black-and-white Warbler",1
"9",151,0,"Blue Grosbeak",1
"10",151,0,"Blue Jay",1
"11",151,0,"Blue-gray Gnatcatcher",1
"12",151,0,"Brown-headed Cowbird",1
"13",151,0,"Brown-headed Nuthatch",1
"14",151,0,"Carolina Chickadee",1
"15",151,0,"Carolina Wren",1
"16",151,0,"Chimney Swift",1
"17",151,0,"Chipping Sparrow",1
"18",151,0,"Common Grackle",1
"19",151,0,"Common Yellowthroat",1
"20",151,0,"Downy Woodpecker",1
"21",151,0,"Eastern Bluebird",1
"22",151,0,"Eastern Kingbird",1
"23",151,0,"Eastern Phoebe",1
"24",151,0,"Eastern Towhee",1
"25",151,0,"Eastern Wood-Pewee",1
"26",151,0,"Fish Crow",1
"27",151,0,"Great Blue Heron",1
"28",151,0,"Great Crested Flycatcher",1
"29",151,0,"Hairy Woodpecker",1
"30",151,0,"House Finch",1
"31",151,0,"Indigo Bunting",1
"32",151,0,"Mourning Dove",1
"33",151,0,"Northern Cardinal",1
"34",151,0,"Northern Flicker",1
"35",151,0,"Northern Parula",1
"36",151,0,"Osprey",1
"37",151,0,"Ovenbird",1
"38",151,0,"Pileated Woodpecker",1
"39",151,0,"Pine Warbler",1
"40",151,0,"Red-bellied Woodpecker",1
"41",151,0,"Red-eyed Vireo",1
"42",151,0,"Red-headed Woodpecker",1
"43",151,0,"Red-shouldered Hawk",1
"44",151,0,"Red-tailed Hawk",1
"45",151,0,"Red-winged Blackbird",1
"46",151,0,"Ruby-throated Hummingbird",1
"47",151,0,"Scarlet Tanager",1
"48",151,0,"Summer Tanager",1
"49",151,0,"Tufted Titmouse",1
"50",151,0,"White-breasted Nuthatch",1
"51",151,0,"White-eyed Vireo",1
"52",151,0,"Yellow-billed Cuckoo",1
"53",151,0,"Yellow-throated Vireo",1
"54",151,0,"Yellow-throated Warbler",1
"55",151,1,"Acadian Flycatcher",1200
"56",151,1,"American Crow",1193
"57",151,1,"American Goldfinch",1190
"58",151,1,"American Redstart",1196
"59",151,1,"Barred Owl",1193
"60",151,1,"Belted Kingfisher",1166
"61",151,1,"Black Vulture",837
"62",151,1,"Black-and-white Warbler",1200
"63",151,1,"Blue Grosbeak",1200
"64",151,1,"Blue Jay",1196
"65",151,1,"Blue-gray Gnatcatcher",1190
"66",151,1,"Brown Thrasher",394
"67",151,1,"Brown-headed Cowbird",1199
"68",151,1,"Brown-headed Nuthatch",1192
"69",151,1,"Carolina Chickadee",1190
"70",151,1,"Carolina Wren",1148
"71",151,1,"Chimney Swift",1195
"72",151,1,"Chipping Sparrow",1195
"73",151,1,"Common Grackle",1140
"74",151,1,"Common Yellowthroat",1194
"75",151,1,"Downy Woodpecker",1177
"76",151,1,"Eastern Bluebird",1184
"77",151,1,"Eastern Kingbird",1173
"78",151,1,"Eastern Phoebe",1173
"79",151,1,"Eastern Towhee",1199
"80",151,1,"Eastern Wood-Pewee",1200
"81",151,1,"European Starling",102
"82",151,1,"Fish Crow",1023
"83",151,1,"Great Blue Heron",736
"84",151,1,"Great Crested Flycatcher",1200
"85",151,1,"Hairy Woodpecker",1076
"86",151,1,"House Finch",1188
"87",151,1,"Indigo Bunting",1197
"88",151,1,"Killdeer",307
"89",151,1,"Mourning Dove",1191
"90",151,1,"Northern Cardinal",1186
"91",151,1,"Northern Flicker",1175
"92",151,1,"Northern Mockingbird",629
"93",151,1,"Northern Parula",1197
"94",151,1,"Osprey",1126
"95",151,1,"Ovenbird",1195
"96",151,1,"Pileated Woodpecker",1187
"97",151,1,"Pine Warbler",1197
"98",151,1,"Red-bellied Woodpecker",1183
"99",151,1,"Red-eyed Vireo",1196
"100",151,1,"Red-headed Woodpecker",1196
"101",151,1,"Red-shouldered Hawk",1165
"102",151,1,"Red-tailed Hawk",1200
"103",151,1,"Red-winged Blackbird",1050
"104",151,1,"Ruby-throated Hummingbird",1192
"105",151,1,"Scarlet Tanager",1200
"106",151,1,"Summer Tanager",1200
"107",151,1,"Tufted Titmouse",1196
"108",151,1,"Turkey Vulture",31
"109",151,1,"White-breasted Nuthatch",1177
"110",151,1,"White-eyed Vireo",1193
"111",151,1,"Yellow-billed Cuckoo",1200
"112",151,1,"Yellow-throated Vireo",1200
"113",151,1,"Yellow-throated Warbler",1199
"114",151,2,"Acadian Flycatcher",1200
"115",151,2,"American Crow",1193
"116",151,2,"American Goldfinch",1193
"117",151,2,"American Redstart",1198
"118",151,2,"Barred Owl",1196
"119",151,2,"Belted Kingfisher",1135
"120",151,2,"Black Vulture",868
"121",151,2,"Black-and-white Warbler",1200
"122",151,2,"Blue Grosbeak",1200
"123",151,2,"Blue Jay",1199
"124",151,2,"Blue-gray Gnatcatcher",1198
"125",151,2,"Brown Thrasher",703
"126",151,2,"Brown-headed Cowbird",1200
"127",151,2,"Brown-headed Nuthatch",1192
"128",151,2,"Carolina Chickadee",1192
"129",151,2,"Carolina Wren",1151
"130",151,2,"Chimney Swift",1195
"131",151,2,"Chipping Sparrow",1195
"132",151,2,"Common Grackle",1141
"133",151,2,"Common Yellowthroat",1196
"134",151,2,"Downy Woodpecker",1111
"135",151,2,"Eastern Bluebird",1184
"136",151,2,"Eastern Kingbird",1132
"137",151,2,"Eastern Phoebe",1128
"138",151,2,"Eastern Towhee",1198
"139",151,2,"Eastern Wood-Pewee",1200
"140",151,2,"European Starling",82
"141",151,2,"Fish Crow",990
"142",151,2,"Great Blue Heron",844
"143",151,2,"Great Crested Flycatcher",1200
"144",151,2,"Hairy Woodpecker",1109
"145",151,2,"House Finch",1155
"146",151,2,"Indigo Bunting",1199
"147",151,2,"Killdeer",424
"148",151,2,"Mourning Dove",1188
"149",151,2,"Northern Cardinal",1197
"150",151,2,"Northern Flicker",1182
"151",151,2,"Northern Mockingbird",775
"152",151,2,"Northern Parula",1198
"153",151,2,"Osprey",1118
"154",151,2,"Ovenbird",1197
"155",151,2,"Pileated Woodpecker",1189
"156",151,2,"Pine Warbler",1198
"157",151,2,"Red-bellied Woodpecker",1189
"158",151,2,"Red-eyed Vireo",1191
"159",151,2,"Red-headed Woodpecker",1196
"160",151,2,"Red-shouldered Hawk",1156
"161",151,2,"Red-tailed Hawk",1199
"162",151,2,"Red-winged Blackbird",1100
"163",151,2,"Ruby-throated Hummingbird",1191
"164",151,2,"Scarlet Tanager",1199
"165",151,2,"Summer Tanager",1200
"166",151,2,"Tufted Titmouse",1197
"167",151,2,"Turkey Vulture",34
"168",151,2,"White-breasted Nuthatch",1180
"169",151,2,"White-eyed Vireo",1196
"170",151,2,"Yellow-billed Cuckoo",1200
"171",151,2,"Yellow-throated Vireo",1199
