"","Bird.Call","julian_day","min_bin","n"
"707","Summer Tanager",166,3,0
"708","Scarlet Tanager",166,3,0
"709","Eastern Wood-Pewee",167,3,7
"710","Acadian Flycatcher",167,3,4
"711","Yellow-throated Vireo",167,3,9
"712","Tufted Titmouse",167,3,0
"713","Summer Tanager",167,3,5
"714","Scarlet Tanager",167,3,1
"715","Eastern Wood-Pewee",168,3,0
"716","Acadian Flycatcher",168,3,1
"717","Yellow-throated Vireo",168,3,25
"718","Tufted Titmouse",168,3,0
"719","Summer Tanager",168,3,0
"720","Scarlet Tanager",168,3,0
"721","Eastern Wood-Pewee",169,3,1
"722","Acadian Flycatcher",169,3,0
"723","Yellow-throated Vireo",169,3,24
"724","Tufted Titmouse",169,3,0
"725","Summer Tanager",169,3,1
"726","Scarlet Tanager",169,3,0
"727","Eastern Wood-Pewee",170,3,15
"728","Acadian Flycatcher",170,3,11
"729","Yellow-throated Vireo",170,3,0
"730","Tufted Titmouse",170,3,19
"731","Summer Tanager",170,3,16
"732","Scarlet Tanager",170,3,0
"733","Eastern Wood-Pewee",171,3,26
"734","Acadian Flycatcher",171,3,5
"735","Yellow-throated Vireo",171,3,22
"736","Tufted Titmouse",171,3,7
"737","Summer Tanager",171,3,0
"738","Scarlet Tanager",171,3,3
"739","Eastern Wood-Pewee",172,3,0
"740","Acadian Flycatcher",172,3,1
"741","Yellow-throated Vireo",172,3,13
"742","Tufted Titmouse",172,3,0
"743","Summer Tanager",172,3,0
"744","Scarlet Tanager",172,3,22
"745","Eastern Wood-Pewee",173,3,0
"746","Acadian Flycatcher",173,3,10
"747","Yellow-throated Vireo",173,3,5
"748","Tufted Titmouse",173,3,0
"749","Summer Tanager",173,3,0
"750","Scarlet Tanager",173,3,2
"751","Eastern Wood-Pewee",174,3,0
"752","Acadian Flycatcher",174,3,11
"753","Yellow-throated Vireo",174,3,69
"754","Tufted Titmouse",174,3,0
"755","Summer Tanager",174,3,0
"756","Scarlet Tanager",174,3,9
"757","Eastern Wood-Pewee",175,3,0
"758","Acadian Flycatcher",175,3,20
"759","Yellow-throated Vireo",175,3,32
"760","Tufted Titmouse",175,3,0
"761","Summer Tanager",175,3,5
"762","Scarlet Tanager",175,3,5
"763","Eastern Wood-Pewee",176,3,0
"764","Acadian Flycatcher",176,3,5
"765","Yellow-throated Vireo",176,3,2
"766","Tufted Titmouse",176,3,0
"767","Summer Tanager",176,3,0
"768","Scarlet Tanager",176,3,1
"769","Eastern Wood-Pewee",177,3,0
"770","Acadian Flycatcher",177,3,8
"771","Yellow-throated Vireo",177,3,0
"772","Tufted Titmouse",177,3,1
"773","Summer Tanager",177,3,2
"774","Scarlet Tanager",177,3,1
"775","Eastern Wood-Pewee",178,3,16
"776","Acadian Flycatcher",178,3,7
"777","Yellow-throated Vireo",178,3,1
"778","Tufted Titmouse",178,3,0
"779","Summer Tanager",178,3,0
"780","Scarlet Tanager",178,3,0
"781","Eastern Wood-Pewee",179,3,0
"782","Acadian Flycatcher",179,3,4
"783","Yellow-throated Vireo",179,3,0
"784","Tufted Titmouse",179,3,2
"785","Summer Tanager",179,3,0
"786","Scarlet Tanager",179,3,9
"787","Eastern Wood-Pewee",180,3,0
"788","Acadian Flycatcher",180,3,0
"789","Yellow-throated Vireo",180,3,0
"790","Tufted Titmouse",180,3,0
"791","Summer Tanager",180,3,0
"792","Scarlet Tanager",180,3,1
"793","Eastern Wood-Pewee",181,3,0
"794","Acadian Flycatcher",181,3,10
"795","Yellow-throated Vireo",181,3,1
"796","Tufted Titmouse",181,3,1
"797","Summer Tanager",181,3,31
"798","Scarlet Tanager",181,3,10
"799","Eastern Wood-Pewee",182,3,0
"800","Acadian Flycatcher",182,3,7
"801","Yellow-throated Vireo",182,3,2
"802","Tufted Titmouse",182,3,0
"803","Summer Tanager",182,3,1
"804","Scarlet Tanager",182,3,2
"805","Eastern Wood-Pewee",183,3,0
"806","Acadian Flycatcher",183,3,15
"807","Yellow-throated Vireo",183,3,26
"808","Tufted Titmouse",183,3,0
"809","Summer Tanager",183,3,0
"810","Scarlet Tanager",183,3,1
"811","Eastern Wood-Pewee",184,3,5
"812","Acadian Flycatcher",184,3,6
"813","Yellow-throated Vireo",184,3,3
"814","Tufted Titmouse",184,3,0
"815","Summer Tanager",184,3,1
"816","Scarlet Tanager",184,3,0
"817","Eastern Wood-Pewee",185,3,19
"818","Acadian Flycatcher",185,3,48
"819","Yellow-throated Vireo",185,3,12
"820","Tufted Titmouse",185,3,0
"821","Summer Tanager",185,3,12
"822","Scarlet Tanager",185,3,4
"823","Eastern Wood-Pewee",186,3,9
"824","Acadian Flycatcher",186,3,17
"825","Yellow-throated Vireo",186,3,8
"826","Tufted Titmouse",186,3,0
"827","Summer Tanager",186,3,1
"828","Scarlet Tanager",186,3,6
"829","Eastern Wood-Pewee",187,3,2
"830","Acadian Flycatcher",187,3,29
"831","Yellow-throated Vireo",187,3,1
"832","Tufted Titmouse",187,3,0
"833","Summer Tanager",187,3,7
"834","Scarlet Tanager",187,3,4
"835","Eastern Wood-Pewee",188,3,8
"836","Acadian Flycatcher",188,3,7
"837","Yellow-throated Vireo",188,3,6
"838","Tufted Titmouse",188,3,0
"839","Summer Tanager",188,3,0
"840","Scarlet Tanager",188,3,2
"841","Eastern Wood-Pewee",189,3,14
"842","Acadian Flycatcher",189,3,2
"843","Yellow-throated Vireo",189,3,15
"844","Tufted Titmouse",189,3,0
"845","Summer Tanager",189,3,0
"846","Scarlet Tanager",189,3,3
"847","Eastern Wood-Pewee",190,3,1
"848","Acadian Flycatcher",190,3,0
"849","Yellow-throated Vireo",190,3,47
"850","Tufted Titmouse",190,3,0
"851","Summer Tanager",190,3,0
"852","Scarlet Tanager",190,3,4
"853","Eastern Wood-Pewee",191,3,0
"854","Acadian Flycatcher",191,3,0
"855","Yellow-throated Vireo",191,3,0
"856","Tufted Titmouse",191,3,0
"857","Summer Tanager",191,3,0
"858","Scarlet Tanager",191,3,0
"859","Eastern Wood-Pewee",192,3,0
"860","Acadian Flycatcher",192,3,0
"861","Yellow-throated Vireo",192,3,7
"862","Tufted Titmouse",192,3,2
"863","Summer Tanager",192,3,0
"864","Scarlet Tanager",192,3,2
"865","Eastern Wood-Pewee",193,3,1
"866","Acadian Flycatcher",193,3,0
"867","Yellow-throated Vireo",193,3,6
"868","Tufted Titmouse",193,3,0
"869","Summer Tanager",193,3,0
"870","Scarlet Tanager",193,3,1
"871","Eastern Wood-Pewee",194,3,0
"872","Acadian Flycatcher",194,3,21
"873","Yellow-throated Vireo",194,3,6
"874","Tufted Titmouse",194,3,0
"875","Summer Tanager",194,3,0
"876","Scarlet Tanager",194,3,1
"877","Eastern Wood-Pewee",195,3,0
"878","Acadian Flycatcher",195,3,17
"879","Yellow-throated Vireo",195,3,19
"880","Tufted Titmouse",195,3,1
"881","Summer Tanager",195,3,0
"882","Scarlet Tanager",195,3,0
"883","Eastern Wood-Pewee",196,3,0
"884","Acadian Flycatcher",196,3,8
"885","Yellow-throated Vireo",196,3,1
"886","Tufted Titmouse",196,3,0
"887","Summer Tanager",196,3,0
"888","Scarlet Tanager",196,3,0
"889","Eastern Wood-Pewee",197,3,0
"890","Acadian Flycatcher",197,3,6
"891","Yellow-throated Vireo",197,3,0
"892","Tufted Titmouse",197,3,1
"893","Summer Tanager",197,3,0
"894","Scarlet Tanager",197,3,0
"895","Eastern Wood-Pewee",198,3,0
"896","Acadian Flycatcher",198,3,12
"897","Yellow-throated Vireo",198,3,0
"898","Tufted Titmouse",198,3,0
"899","Summer Tanager",198,3,70
"900","Scarlet Tanager",198,3,0
"901","Eastern Wood-Pewee",199,3,0
"902","Acadian Flycatcher",199,3,19
"903","Yellow-throated Vireo",199,3,0
"904","Tufted Titmouse",199,3,0
"905","Summer Tanager",199,3,0
"906","Scarlet Tanager",199,3,0
"907","Eastern Wood-Pewee",200,3,4
"908","Acadian Flycatcher",200,3,17
"909","Yellow-throated Vireo",200,3,0
"910","Tufted Titmouse",200,3,1
"911","Summer Tanager",200,3,0
"912","Scarlet Tanager",200,3,1
"913","Eastern Wood-Pewee",201,3,0
"914","Acadian Flycatcher",201,3,13
"915","Yellow-throated Vireo",201,3,0
"916","Tufted Titmouse",201,3,0
"917","Summer Tanager",201,3,0
"918","Scarlet Tanager",201,3,0
"919","Eastern Wood-Pewee",151,4,0
"920","Acadian Flycatcher",151,4,26
"921","Yellow-throated Vireo",151,4,4
"922","Tufted Titmouse",151,4,1
"923","Summer Tanager",151,4,1
"924","Scarlet Tanager",151,4,0
"925","Eastern Wood-Pewee",152,4,0
"926","Acadian Flycatcher",152,4,30
"927","Yellow-throated Vireo",152,4,4
"928","Tufted Titmouse",152,4,0
"929","Summer Tanager",152,4,0
"930","Scarlet Tanager",152,4,0
"931","Eastern Wood-Pewee",153,4,0
"932","Acadian Flycatcher",153,4,15
"933","Yellow-throated Vireo",153,4,1
"934","Tufted Titmouse",153,4,0
"935","Summer Tanager",153,4,8
"936","Scarlet Tanager",153,4,0
"937","Eastern Wood-Pewee",154,4,1
"938","Acadian Flycatcher",154,4,25
"939","Yellow-throated Vireo",154,4,3
"940","Tufted Titmouse",154,4,0
"941","Summer Tanager",154,4,3
"942","Scarlet Tanager",154,4,0
"943","Eastern Wood-Pewee",155,4,0
"944","Acadian Flycatcher",155,4,53
"945","Yellow-throated Vireo",155,4,8
"946","Tufted Titmouse",155,4,0
"947","Summer Tanager",155,4,1
"948","Scarlet Tanager",155,4,11
"949","Eastern Wood-Pewee",156,4,1
"950","Acadian Flycatcher",156,4,28
"951","Yellow-throated Vireo",156,4,5
"952","Tufted Titmouse",156,4,0
"953","Summer Tanager",156,4,17
"954","Scarlet Tanager",156,4,26
"955","Eastern Wood-Pewee",157,4,1
"956","Acadian Flycatcher",157,4,4
"957","Yellow-throated Vireo",157,4,15
"958","Tufted Titmouse",157,4,3
"959","Summer Tanager",157,4,0
"960","Scarlet Tanager",157,4,3
"961","Eastern Wood-Pewee",158,4,0
"962","Acadian Flycatcher",158,4,44
"963","Yellow-throated Vireo",158,4,0
"964","Tufted Titmouse",158,4,17
"965","Summer Tanager",158,4,0
"966","Scarlet Tanager",158,4,2
"967","Eastern Wood-Pewee",159,4,6
"968","Acadian Flycatcher",159,4,30
"969","Yellow-throated Vireo",159,4,0
"970","Tufted Titmouse",159,4,0
"971","Summer Tanager",159,4,80
"972","Scarlet Tanager",159,4,32
"973","Eastern Wood-Pewee",160,4,1
"974","Acadian Flycatcher",160,4,5
"975","Yellow-throated Vireo",160,4,1
"976","Tufted Titmouse",160,4,0
"977","Summer Tanager",160,4,1
"978","Scarlet Tanager",160,4,0
"979","Eastern Wood-Pewee",161,4,0
"980","Acadian Flycatcher",161,4,35
"981","Yellow-throated Vireo",161,4,0
"982","Tufted Titmouse",161,4,0
"983","Summer Tanager",161,4,94
"984","Scarlet Tanager",161,4,7
"985","Eastern Wood-Pewee",162,4,0
"986","Acadian Flycatcher",162,4,19
"987","Yellow-throated Vireo",162,4,10
"988","Tufted Titmouse",162,4,2
"989","Summer Tanager",162,4,4
"990","Scarlet Tanager",162,4,6
"991","Eastern Wood-Pewee",163,4,0
"992","Acadian Flycatcher",163,4,0
"993","Yellow-throated Vireo",163,4,37
"994","Tufted Titmouse",163,4,0
"995","Summer Tanager",163,4,7
"996","Scarlet Tanager",163,4,0
"997","Eastern Wood-Pewee",164,4,0
"998","Acadian Flycatcher",164,4,0
"999","Yellow-throated Vireo",164,4,15
"1000","Tufted Titmouse",164,4,0
"1001","Summer Tanager",164,4,12
"1002","Scarlet Tanager",164,4,0
"1003","Eastern Wood-Pewee",165,4,9
"1004","Acadian Flycatcher",165,4,17
"1005","Yellow-throated Vireo",165,4,31
"1006","Tufted Titmouse",165,4,0
"1007","Summer Tanager",165,4,0
"1008","Scarlet Tanager",165,4,1
"1009","Eastern Wood-Pewee",166,4,28
"1010","Acadian Flycatcher",166,4,0
"1011","Yellow-throated Vireo",166,4,21
"1012","Tufted Titmouse",166,4,0
"1013","Summer Tanager",166,4,0
"1014","Scarlet Tanager",166,4,1
"1015","Eastern Wood-Pewee",167,4,14
"1016","Acadian Flycatcher",167,4,39
"1017","Yellow-throated Vireo",167,4,1
"1018","Tufted Titmouse",167,4,7
"1019","Summer Tanager",167,4,41
"1020","Scarlet Tanager",167,4,1
"1021","Eastern Wood-Pewee",168,4,6
"1022","Acadian Flycatcher",168,4,0
"1023","Yellow-throated Vireo",168,4,5
"1024","Tufted Titmouse",168,4,0
"1025","Summer Tanager",168,4,0
"1026","Scarlet Tanager",168,4,0
"1027","Eastern Wood-Pewee",169,4,6
"1028","Acadian Flycatcher",169,4,32
"1029","Yellow-throated Vireo",169,4,0
"1030","Tufted Titmouse",169,4,3
"1031","Summer Tanager",169,4,4
"1032","Scarlet Tanager",169,4,1
"1033","Eastern Wood-Pewee",170,4,9
"1034","Acadian Flycatcher",170,4,18
"1035","Yellow-throated Vireo",170,4,1
"1036","Tufted Titmouse",170,4,9
"1037","Summer Tanager",170,4,0
"1038","Scarlet Tanager",170,4,0
"1039","Eastern Wood-Pewee",171,4,33
"1040","Acadian Flycatcher",171,4,1
"1041","Yellow-throated Vireo",171,4,7
"1042","Tufted Titmouse",171,4,27
"1043","Summer Tanager",171,4,9
"1044","Scarlet Tanager",171,4,3
"1045","Eastern Wood-Pewee",172,4,0
"1046","Acadian Flycatcher",172,4,4
"1047","Yellow-throated Vireo",172,4,6
"1048","Tufted Titmouse",172,4,0
"1049","Summer Tanager",172,4,0
"1050","Scarlet Tanager",172,4,22
"1051","Eastern Wood-Pewee",173,4,0
"1052","Acadian Flycatcher",173,4,19
"1053","Yellow-throated Vireo",173,4,12
"1054","Tufted Titmouse",173,4,0
"1055","Summer Tanager",173,4,2
"1056","Scarlet Tanager",173,4,10
"1057","Eastern Wood-Pewee",174,4,0
"1058","Acadian Flycatcher",174,4,1
"1059","Yellow-throated Vireo",174,4,49
"1060","Tufted Titmouse",174,4,0
"1061","Summer Tanager",174,4,0
"1062","Scarlet Tanager",174,4,1
"1063","Eastern Wood-Pewee",175,4,2
"1064","Acadian Flycatcher",175,4,11
"1065","Yellow-throated Vireo",175,4,91
"1066","Tufted Titmouse",175,4,1
"1067","Summer Tanager",175,4,2
"1068","Scarlet Tanager",175,4,8
"1069","Eastern Wood-Pewee",176,4,0
"1070","Acadian Flycatcher",176,4,10
"1071","Yellow-throated Vireo",176,4,3
"1072","Tufted Titmouse",176,4,7
"1073","Summer Tanager",176,4,17
"1074","Scarlet Tanager",176,4,0
"1075","Eastern Wood-Pewee",177,4,0
"1076","Acadian Flycatcher",177,4,13
"1077","Yellow-throated Vireo",177,4,0
"1078","Tufted Titmouse",177,4,0
"1079","Summer Tanager",177,4,11
"1080","Scarlet Tanager",177,4,0
"1081","Eastern Wood-Pewee",178,4,0
"1082","Acadian Flycatcher",178,4,4
"1083","Yellow-throated Vireo",178,4,0
"1084","Tufted Titmouse",178,4,0
"1085","Summer Tanager",178,4,0
"1086","Scarlet Tanager",178,4,0
"1087","Eastern Wood-Pewee",179,4,0
"1088","Acadian Flycatcher",179,4,8
"1089","Yellow-throated Vireo",179,4,1
"1090","Tufted Titmouse",179,4,0
"1091","Summer Tanager",179,4,0
"1092","Scarlet Tanager",179,4,1
"1093","Eastern Wood-Pewee",180,4,0
"1094","Acadian Flycatcher",180,4,6
"1095","Yellow-throated Vireo",180,4,1
"1096","Tufted Titmouse",180,4,0
"1097","Summer Tanager",180,4,0
"1098","Scarlet Tanager",180,4,1
"1099","Eastern Wood-Pewee",181,4,0
"1100","Acadian Flycatcher",181,4,16
"1101","Yellow-throated Vireo",181,4,0
"1102","Tufted Titmouse",181,4,0
"1103","Summer Tanager",181,4,0
"1104","Scarlet Tanager",181,4,0
"1105","Eastern Wood-Pewee",182,4,4
"1106","Acadian Flycatcher",182,4,4
"1107","Yellow-throated Vireo",182,4,0
"1108","Tufted Titmouse",182,4,12
"1109","Summer Tanager",182,4,1
"1110","Scarlet Tanager",182,4,0
"1111","Eastern Wood-Pewee",183,4,0
"1112","Acadian Flycatcher",183,4,10
"1113","Yellow-throated Vireo",183,4,2
"1114","Tufted Titmouse",183,4,0
"1115","Summer Tanager",183,4,0
"1116","Scarlet Tanager",183,4,0
"1117","Eastern Wood-Pewee",184,4,3
"1118","Acadian Flycatcher",184,4,5
"1119","Yellow-throated Vireo",184,4,0
"1120","Tufted Titmouse",184,4,0
"1121","Summer Tanager",184,4,0
"1122","Scarlet Tanager",184,4,0
"1123","Eastern Wood-Pewee",185,4,15
"1124","Acadian Flycatcher",185,4,11
"1125","Yellow-throated Vireo",185,4,0
"1126","Tufted Titmouse",185,4,0
"1127","Summer Tanager",185,4,0
"1128","Scarlet Tanager",185,4,0
"1129","Eastern Wood-Pewee",186,4,36
"1130","Acadian Flycatcher",186,4,15
"1131","Yellow-throated Vireo",186,4,4
"1132","Tufted Titmouse",186,4,0
"1133","Summer Tanager",186,4,0
"1134","Scarlet Tanager",186,4,3
"1135","Eastern Wood-Pewee",187,4,21
"1136","Acadian Flycatcher",187,4,11
"1137","Yellow-throated Vireo",187,4,7
"1138","Tufted Titmouse",187,4,0
"1139","Summer Tanager",187,4,0
"1140","Scarlet Tanager",187,4,0
"1141","Eastern Wood-Pewee",188,4,7
"1142","Acadian Flycatcher",188,4,2
"1143","Yellow-throated Vireo",188,4,0
"1144","Tufted Titmouse",188,4,0
"1145","Summer Tanager",188,4,0
"1146","Scarlet Tanager",188,4,0
"1147","Eastern Wood-Pewee",189,4,8
"1148","Acadian Flycatcher",189,4,2
"1149","Yellow-throated Vireo",189,4,7
"1150","Tufted Titmouse",189,4,0
"1151","Summer Tanager",189,4,0
"1152","Scarlet Tanager",189,4,0
"1153","Eastern Wood-Pewee",190,4,0
"1154","Acadian Flycatcher",190,4,1
"1155","Yellow-throated Vireo",190,4,2
"1156","Tufted Titmouse",190,4,0
"1157","Summer Tanager",190,4,0
"1158","Scarlet Tanager",190,4,0
"1159","Eastern Wood-Pewee",191,4,0
"1160","Acadian Flycatcher",191,4,0
"1161","Yellow-throated Vireo",191,4,4
"1162","Tufted Titmouse",191,4,0
"1163","Summer Tanager",191,4,0
"1164","Scarlet Tanager",191,4,1
"1165","Eastern Wood-Pewee",192,4,4
"1166","Acadian Flycatcher",192,4,0
"1167","Yellow-throated Vireo",192,4,0
"1168","Tufted Titmouse",192,4,0
"1169","Summer Tanager",192,4,0
"1170","Scarlet Tanager",192,4,0
"1171","Eastern Wood-Pewee",193,4,0
"1172","Acadian Flycatcher",193,4,3
"1173","Yellow-throated Vireo",193,4,1
"1174","Tufted Titmouse",193,4,0
"1175","Summer Tanager",193,4,8
"1176","Scarlet Tanager",193,4,0
"1177","Eastern Wood-Pewee",194,4,0
"1178","Acadian Flycatcher",194,4,6
"1179","Yellow-throated Vireo",194,4,0
"1180","Tufted Titmouse",194,4,0
"1181","Summer Tanager",194,4,11
"1182","Scarlet Tanager",194,4,0
"1183","Eastern Wood-Pewee",195,4,0
"1184","Acadian Flycatcher",195,4,7
"1185","Yellow-throated Vireo",195,4,1
"1186","Tufted Titmouse",195,4,0
"1187","Summer Tanager",195,4,0
"1188","Scarlet Tanager",195,4,0
"1189","Eastern Wood-Pewee",196,4,0
"1190","Acadian Flycatcher",196,4,15
"1191","Yellow-throated Vireo",196,4,1
"1192","Tufted Titmouse",196,4,0
"1193","Summer Tanager",196,4,0
"1194","Scarlet Tanager",196,4,0
"1195","Eastern Wood-Pewee",197,4,0
"1196","Acadian Flycatcher",197,4,40
"1197","Yellow-throated Vireo",197,4,0
"1198","Tufted Titmouse",197,4,0
"1199","Summer Tanager",197,4,0
"1200","Scarlet Tanager",197,4,0
"1201","Eastern Wood-Pewee",198,4,0
"1202","Acadian Flycatcher",198,4,16
"1203","Yellow-throated Vireo",198,4,0
"1204","Tufted Titmouse",198,4,0
"1205","Summer Tanager",198,4,145
"1206","Scarlet Tanager",198,4,0
"1207","Eastern Wood-Pewee",199,4,0
"1208","Acadian Flycatcher",199,4,13
"1209","Yellow-throated Vireo",199,4,4
"1210","Tufted Titmouse",199,4,0
"1211","Summer Tanager",199,4,0
"1212","Scarlet Tanager",199,4,2
"1213","Eastern Wood-Pewee",200,4,0
"1214","Acadian Flycatcher",200,4,25
"1215","Yellow-throated Vireo",200,4,0
"1216","Tufted Titmouse",200,4,0
"1217","Summer Tanager",200,4,0
"1218","Scarlet Tanager",200,4,0
"1219","Eastern Wood-Pewee",201,4,0
"1220","Acadian Flycatcher",201,4,14
"1221","Yellow-throated Vireo",201,4,0
"1222","Tufted Titmouse",201,4,0
"1223","Summer Tanager",201,4,9
"1224","Scarlet Tanager",201,4,1
"1225","Eastern Wood-Pewee",151,5,1
"1226","Acadian Flycatcher",151,5,14
"1227","Yellow-throated Vireo",151,5,6
"1228","Tufted Titmouse",151,5,0
"1229","Summer Tanager",151,5,1
"1230","Scarlet Tanager",151,5,0
"1231","Eastern Wood-Pewee",152,5,0
"1232","Acadian Flycatcher",152,5,29
"1233","Yellow-throated Vireo",152,5,4
"1234","Tufted Titmouse",152,5,0
"1235","Summer Tanager",152,5,0
"1236","Scarlet Tanager",152,5,0
"1237","Eastern Wood-Pewee",153,5,0
"1238","Acadian Flycatcher",153,5,37
"1239","Yellow-throated Vireo",153,5,1
"1240","Tufted Titmouse",153,5,2
"1241","Summer Tanager",153,5,7
"1242","Scarlet Tanager",153,5,0
"1243","Eastern Wood-Pewee",154,5,6
"1244","Acadian Flycatcher",154,5,86
"1245","Yellow-throated Vireo",154,5,9
"1246","Tufted Titmouse",154,5,0
"1247","Summer Tanager",154,5,5
"1248","Scarlet Tanager",154,5,0
"1249","Eastern Wood-Pewee",155,5,1
"1250","Acadian Flycatcher",155,5,80
"1251","Yellow-throated Vireo",155,5,8
"1252","Tufted Titmouse",155,5,0
"1253","Summer Tanager",155,5,1
"1254","Scarlet Tanager",155,5,3
"1255","Eastern Wood-Pewee",156,5,6
"1256","Acadian Flycatcher",156,5,7
"1257","Yellow-throated Vireo",156,5,25
"1258","Tufted Titmouse",156,5,0
"1259","Summer Tanager",156,5,0
"1260","Scarlet Tanager",156,5,12
"1261","Eastern Wood-Pewee",157,5,1
"1262","Acadian Flycatcher",157,5,3
"1263","Yellow-throated Vireo",157,5,5
"1264","Tufted Titmouse",157,5,36
"1265","Summer Tanager",157,5,0
"1266","Scarlet Tanager",157,5,0
"1267","Eastern Wood-Pewee",158,5,0
"1268","Acadian Flycatcher",158,5,89
"1269","Yellow-throated Vireo",158,5,0
"1270","Tufted Titmouse",158,5,4
"1271","Summer Tanager",158,5,2
"1272","Scarlet Tanager",158,5,0
"1273","Eastern Wood-Pewee",159,5,2
"1274","Acadian Flycatcher",159,5,33
"1275","Yellow-throated Vireo",159,5,0
"1276","Tufted Titmouse",159,5,0
"1277","Summer Tanager",159,5,136
"1278","Scarlet Tanager",159,5,20
"1279","Eastern Wood-Pewee",160,5,7
"1280","Acadian Flycatcher",160,5,0
"1281","Yellow-throated Vireo",160,5,0
"1282","Tufted Titmouse",160,5,0
"1283","Summer Tanager",160,5,3
"1284","Scarlet Tanager",160,5,0
"1285","Eastern Wood-Pewee",161,5,0
"1286","Acadian Flycatcher",161,5,17
"1287","Yellow-throated Vireo",161,5,4
"1288","Tufted Titmouse",161,5,11
"1289","Summer Tanager",161,5,39
"1290","Scarlet Tanager",161,5,9
"1291","Eastern Wood-Pewee",162,5,0
"1292","Acadian Flycatcher",162,5,3
"1293","Yellow-throated Vireo",162,5,1
"1294","Tufted Titmouse",162,5,1
"1295","Summer Tanager",162,5,3
"1296","Scarlet Tanager",162,5,1
"1297","Eastern Wood-Pewee",163,5,15
"1298","Acadian Flycatcher",163,5,8
"1299","Yellow-throated Vireo",163,5,8
"1300","Tufted Titmouse",163,5,0
"1301","Summer Tanager",163,5,19
"1302","Scarlet Tanager",163,5,1
"1303","Eastern Wood-Pewee",164,5,0
"1304","Acadian Flycatcher",164,5,0
"1305","Yellow-throated Vireo",164,5,26
"1306","Tufted Titmouse",164,5,0
"1307","Summer Tanager",164,5,89
"1308","Scarlet Tanager",164,5,42
"1309","Eastern Wood-Pewee",165,5,81
"1310","Acadian Flycatcher",165,5,0
"1311","Yellow-throated Vireo",165,5,25
"1312","Tufted Titmouse",165,5,0
"1313","Summer Tanager",165,5,0
"1314","Scarlet Tanager",165,5,0
"1315","Eastern Wood-Pewee",166,5,13
"1316","Acadian Flycatcher",166,5,45
"1317","Yellow-throated Vireo",166,5,0
"1318","Tufted Titmouse",166,5,6
"1319","Summer Tanager",166,5,0
"1320","Scarlet Tanager",166,5,0
"1321","Eastern Wood-Pewee",167,5,28
"1322","Acadian Flycatcher",167,5,6
"1323","Yellow-throated Vireo",167,5,9
"1324","Tufted Titmouse",167,5,0
"1325","Summer Tanager",167,5,1
"1326","Scarlet Tanager",167,5,0
"1327","Eastern Wood-Pewee",168,5,48
"1328","Acadian Flycatcher",168,5,2
"1329","Yellow-throated Vireo",168,5,1
"1330","Tufted Titmouse",168,5,2
"1331","Summer Tanager",168,5,0
"1332","Scarlet Tanager",168,5,0
"1333","Eastern Wood-Pewee",169,5,0
"1334","Acadian Flycatcher",169,5,4
"1335","Yellow-throated Vireo",169,5,1
"1336","Tufted Titmouse",169,5,23
"1337","Summer Tanager",169,5,0
"1338","Scarlet Tanager",169,5,1
"1339","Eastern Wood-Pewee",170,5,54
"1340","Acadian Flycatcher",170,5,14
"1341","Yellow-throated Vireo",170,5,0
"1342","Tufted Titmouse",170,5,5
"1343","Summer Tanager",170,5,1
"1344","Scarlet Tanager",170,5,0
"1345","Eastern Wood-Pewee",171,5,38
"1346","Acadian Flycatcher",171,5,1
"1347","Yellow-throated Vireo",171,5,21
"1348","Tufted Titmouse",171,5,20
"1349","Summer Tanager",171,5,5
"1350","Scarlet Tanager",171,5,3
"1351","Eastern Wood-Pewee",172,5,0
"1352","Acadian Flycatcher",172,5,0
"1353","Yellow-throated Vireo",172,5,7
"1354","Tufted Titmouse",172,5,0
"1355","Summer Tanager",172,5,0
"1356","Scarlet Tanager",172,5,18
"1357","Eastern Wood-Pewee",173,5,2
"1358","Acadian Flycatcher",173,5,4
"1359","Yellow-throated Vireo",173,5,0
"1360","Tufted Titmouse",173,5,0
"1361","Summer Tanager",173,5,0
"1362","Scarlet Tanager",173,5,2
"1363","Eastern Wood-Pewee",174,5,1
"1364","Acadian Flycatcher",174,5,21
"1365","Yellow-throated Vireo",174,5,68
"1366","Tufted Titmouse",174,5,2
"1367","Summer Tanager",174,5,1
"1368","Scarlet Tanager",174,5,3
"1369","Eastern Wood-Pewee",175,5,0
"1370","Acadian Flycatcher",175,5,14
"1371","Yellow-throated Vireo",175,5,88
"1372","Tufted Titmouse",175,5,0
"1373","Summer Tanager",175,5,0
"1374","Scarlet Tanager",175,5,2
"1375","Eastern Wood-Pewee",176,5,0
"1376","Acadian Flycatcher",176,5,14
"1377","Yellow-throated Vireo",176,5,4
"1378","Tufted Titmouse",176,5,17
"1379","Summer Tanager",176,5,0
"1380","Scarlet Tanager",176,5,0
"1381","Eastern Wood-Pewee",177,5,0
"1382","Acadian Flycatcher",177,5,3
"1383","Yellow-throated Vireo",177,5,2
"1384","Tufted Titmouse",177,5,0
"1385","Summer Tanager",177,5,0
"1386","Scarlet Tanager",177,5,0
"1387","Eastern Wood-Pewee",178,5,0
"1388","Acadian Flycatcher",178,5,7
"1389","Yellow-throated Vireo",178,5,0
"1390","Tufted Titmouse",178,5,0
"1391","Summer Tanager",178,5,0
"1392","Scarlet Tanager",178,5,0
"1393","Eastern Wood-Pewee",179,5,0
"1394","Acadian Flycatcher",179,5,19
"1395","Yellow-throated Vireo",179,5,1
"1396","Tufted Titmouse",179,5,0
