"","Bird.Call","julian_day","min_bin","n"
"142","Tufted Titmouse",174,1,0
"143","Summer Tanager",174,1,0
"144","Scarlet Tanager",174,1,0
"145","Eastern Wood-Pewee",175,1,0
"146","Acadian Flycatcher",175,1,1
"147","Yellow-throated Vireo",175,1,2
"148","Tufted Titmouse",175,1,0
"149","Summer Tanager",175,1,0
"150","Scarlet Tanager",175,1,0
"151","Eastern Wood-Pewee",176,1,0
"152","Acadian Flycatcher",176,1,0
"153","Yellow-throated Vireo",176,1,0
"154","Tufted Titmouse",176,1,0
"155","Summer Tanager",176,1,0
"156","Scarlet Tanager",176,1,0
"157","Eastern Wood-Pewee",177,1,0
"158","Acadian Flycatcher",177,1,0
"159","Yellow-throated Vireo",177,1,0
"160","Tufted Titmouse",177,1,0
"161","Summer Tanager",177,1,0
"162","Scarlet Tanager",177,1,0
"163","Eastern Wood-Pewee",178,1,0
"164","Acadian Flycatcher",178,1,0
"165","Yellow-throated Vireo",178,1,0
"166","Tufted Titmouse",178,1,0
"167","Summer Tanager",178,1,0
"168","Scarlet Tanager",178,1,0
"169","Eastern Wood-Pewee",179,1,0
"170","Acadian Flycatcher",179,1,0
"171","Yellow-throated Vireo",179,1,0
"172","Tufted Titmouse",179,1,0
"173","Summer Tanager",179,1,0
"174","Scarlet Tanager",179,1,0
"175","Eastern Wood-Pewee",180,1,0
"176","Acadian Flycatcher",180,1,0
"177","Yellow-throated Vireo",180,1,0
"178","Tufted Titmouse",180,1,0
"179","Summer Tanager",180,1,14
"180","Scarlet Tanager",180,1,0
"181","Eastern Wood-Pewee",181,1,0
"182","Acadian Flycatcher",181,1,0
"183","Yellow-throated Vireo",181,1,1
"184","Tufted Titmouse",181,1,0
"185","Summer Tanager",181,1,10
"186","Scarlet Tanager",181,1,2
"187","Eastern Wood-Pewee",182,1,0
"188","Acadian Flycatcher",182,1,0
"189","Yellow-throated Vireo",182,1,0
"190","Tufted Titmouse",182,1,0
"191","Summer Tanager",182,1,29
"192","Scarlet Tanager",182,1,0
"193","Eastern Wood-Pewee",183,1,0
"194","Acadian Flycatcher",183,1,3
"195","Yellow-throated Vireo",183,1,0
"196","Tufted Titmouse",183,1,0
"197","Summer Tanager",183,1,2
"198","Scarlet Tanager",183,1,0
"199","Eastern Wood-Pewee",184,1,0
"200","Acadian Flycatcher",184,1,2
"201","Yellow-throated Vireo",184,1,0
"202","Tufted Titmouse",184,1,0
"203","Summer Tanager",184,1,10
"204","Scarlet Tanager",184,1,0
"205","Eastern Wood-Pewee",185,1,0
"206","Acadian Flycatcher",185,1,36
"207","Yellow-throated Vireo",185,1,0
"208","Tufted Titmouse",185,1,0
"209","Summer Tanager",185,1,0
"210","Scarlet Tanager",185,1,0
